Time,Open,High,Low,Latest,Change,%Change,Volume
"2018-11-27 00:00",4.194,4.196,4.163,4.173,-0.023,-0.55%,729
"2018-11-27 00:30",4.17,4.175,4.151,4.165,-0.008,-0.19%,655
"2018-11-27 01:00",4.163,4.172,4.142,4.155,-0.01,-0.24%,708
"2018-11-27 01:30",4.156,4.237,4.152,4.225,0.07,+1.68%,1260
"2018-11-27 02:00",4.225,4.229,4.183,4.192,-0.033,-0.78%,1172
"2018-11-27 02:30",4.191,4.191,4.172,4.181,-0.011,-0.26%,445
"2018-11-27 03:00",4.18,4.198,4.177,4.195,0.014,+0.33%,329
"2018-11-27 03:30",4.195,4.219,4.161,4.174,-0.021,-0.50%,822
"2018-11-27 04:00",4.173,4.222,4.164,4.209,0.035,+0.84%,763
"2018-11-27 04:30",4.21,4.212,4.179,4.189,-0.02,-0.48%,657
"2018-11-27 05:00",4.187,4.227,4.187,4.219,0.03,+0.72%,973
"2018-11-27 05:30",4.22,4.248,4.211,4.234,0.015,+0.36%,1364
"2018-11-27 06:00",4.234,4.258,4.221,4.229,-0.005,-0.12%,2147
"2018-11-27 06:30",4.228,4.259,4.215,4.243,0.014,+0.33%,1527
"2018-11-27 07:00",4.242,4.32,4.222,4.291,0.048,+1.13%,7642
"2018-11-27 07:30",4.293,4.295,4.232,4.233,-0.058,-1.35%,6467
"2018-11-27 08:00",4.232,4.254,4.192,4.196,-0.037,-0.87%,12800
"2018-11-27 08:30",4.196,4.206,4.162,4.169,-0.027,-0.64%,10992
"2018-11-27 09:00",4.17,4.202,4.144,4.192,0.023,+0.55%,9071
"2018-11-27 09:30",4.193,4.224,4.186,4.206,0.014,+0.33%,7143
"2018-11-27 10:00",4.206,4.234,4.183,4.225,0.019,+0.45%,8130
"2018-11-27 10:30",4.225,4.278,4.221,4.27,0.045,+1.07%,9730
"2018-11-27 11:00",4.271,4.32,4.264,4.275,0.005,+0.12%,13841
"2018-11-27 11:30",4.274,4.301,4.263,4.268,-0.007,-0.16%,4514
"2018-11-27 12:00",4.268,4.305,4.267,4.3,0.032,+0.75%,3814
"2018-11-27 12:30",4.301,4.317,4.269,4.273,-0.027,-0.63%,5018
"2018-11-27 13:00",4.274,4.346,4.274,4.292,0.019,+0.44%,14145
"2018-11-27 13:30",4.292,4.312,4.275,4.282,-0.01,-0.23%,4227
"2018-11-27 14:00",4.282,4.285,4.231,4.248,-0.034,-0.79%,2964
"2018-11-27 14:30",4.248,4.249,4.211,4.224,-0.024,-0.56%,2017
"2018-11-27 15:00",4.221,4.225,4.203,4.22,-0.004,-0.09%,716
"2018-11-27 15:30",4.22,4.228,4.216,4.218,-0.002,-0.05%,292
"2018-11-27 17:00",4.219,4.24,4.215,4.239,0.021,+0.50%,210
"2018-11-27 17:30",4.239,4.269,4.235,4.266,0.027,+0.64%,287
"2018-11-27 18:00",4.265,4.273,4.247,4.256,-0.01,-0.23%,237
"2018-11-27 18:30",4.256,4.272,4.251,4.268,0.012,+0.28%,254
"2018-11-27 19:00",4.267,4.268,4.26,4.265,-0.003,-0.07%,318
"2018-11-27 19:30",4.264,4.265,4.244,4.248,-0.017,-0.40%,244
"2018-11-27 20:00",4.249,4.249,4.234,4.24,-0.008,-0.19%,319
"2018-11-27 20:30",4.238,4.252,4.238,4.242,0.002,+0.05%,185
"2018-11-27 21:00",4.243,4.251,4.24,4.247,0.005,+0.12%,122
"2018-11-27 21:30",4.248,4.257,4.242,4.246,-0.001,-0.02%,255
"2018-11-27 22:00",4.247,4.276,4.245,4.265,0.019,+0.45%,577
"2018-11-27 22:30",4.268,4.282,4.265,4.271,0.006,+0.14%,658
"2018-11-27 23:00",4.273,4.282,4.262,4.268,-0.003,-0.07%,406
"2018-11-27 23:30",4.268,4.274,4.254,4.27,0.002,+0.05%,393
"2018-11-28 00:00",4.271,4.277,4.263,4.263,-0.007,-0.16%,241
"2018-11-28 00:30",4.262,4.269,4.251,4.255,-0.008,-0.19%,232
"2018-11-28 01:00",4.256,4.284,4.256,4.28,0.025,+0.59%,297
"2018-11-28 01:30",4.28,4.289,4.264,4.275,-0.005,-0.12%,628
"2018-11-28 02:00",4.278,4.286,4.213,4.228,-0.047,-1.10%,1328
"2018-11-28 02:30",4.229,4.239,4.209,4.222,-0.006,-0.14%,726
"2018-11-28 03:00",4.224,4.254,4.223,4.235,0.013,+0.31%,634
"2018-11-28 03:30",4.235,4.247,4.226,4.236,0.001,+0.02%,282
"2018-11-28 04:00",4.237,4.24,4.22,4.227,-0.009,-0.21%,524
"2018-11-28 04:30",4.227,4.276,4.223,4.261,0.034,+0.80%,805
"2018-11-28 05:00",4.26,4.305,4.253,4.302,0.041,+0.96%,1392
"2018-11-28 05:30",4.304,4.309,4.292,4.301,-0.001,-0.02%,1015
"2018-11-28 06:00",4.3,4.367,4.299,4.352,0.051,+1.19%,3514
"2018-11-28 06:30",4.352,4.384,4.343,4.368,0.016,+0.37%,3453
"2018-11-28 07:00",4.37,4.536,4.363,4.477,0.109,+2.50%,11536
"2018-11-28 07:30",4.479,4.48,4.434,4.456,-0.021,-0.47%,9561
"2018-11-28 08:00",4.456,4.46,4.411,4.425,-0.031,-0.70%,7580
"2018-11-28 08:30",4.424,4.453,4.401,4.451,0.026,+0.59%,8951
"2018-11-28 09:00",4.45,4.457,4.358,4.376,-0.075,-1.69%,11914
"2018-11-28 09:30",4.375,4.479,4.375,4.445,0.069,+1.58%,11496
"2018-11-28 10:00",4.446,4.456,4.389,4.403,-0.042,-0.94%,9032
"2018-11-28 10:30",4.401,4.414,4.378,4.405,0.002,+0.05%,6380
"2018-11-28 11:00",4.405,4.448,4.379,4.413,0.008,+0.18%,9510
"2018-11-28 11:30",4.413,4.485,4.393,4.478,0.065,+1.47%,7283
"2018-11-28 12:00",4.479,4.506,4.467,4.482,0.004,+0.09%,8026
"2018-11-28 12:30",4.481,4.554,4.471,4.547,0.065,+1.45%,11465
"2018-11-28 13:00",4.547,4.728,4.543,4.702,0.155,+3.41%,67836
"2018-11-28 13:30",4.702,4.702,4.62,4.643,-0.059,-1.25%,14702
"2018-11-28 14:00",4.641,4.645,4.603,4.615,-0.028,-0.60%,4053
"2018-11-28 14:30",4.614,4.69,4.604,4.667,0.052,+1.13%,3639
"2018-11-28 15:00",4.667,4.7,4.656,4.677,0.01,+0.21%,1196
"2018-11-28 15:30",4.676,4.682,4.657,4.676,-0.001,-0.02%,903
"2018-11-28 17:00",4.671,4.671,4.6,4.623,-0.053,-1.13%,851
"2018-11-28 17:30",4.621,4.645,4.61,4.637,0.014,+0.30%,322
"2018-11-28 18:00",4.64,4.64,4.617,4.617,-0.02,-0.43%,270
"2018-11-28 18:30",4.617,4.637,4.617,4.627,0.01,+0.22%,201
"2018-11-28 19:00",4.627,4.627,4.61,4.614,-0.013,-0.28%,210
"2018-11-28 19:30",4.613,4.615,4.61,4.613,-0.001,-0.02%,144
"2018-11-28 20:00",4.613,4.614,4.606,4.611,-0.002,-0.04%,232
"2018-11-28 20:30",4.611,4.616,4.61,4.614,0.003,+0.07%,190
"2018-11-28 21:00",4.613,4.624,4.612,4.621,0.007,+0.15%,248
"2018-11-28 21:30",4.621,4.643,4.621,4.63,0.009,+0.19%,343
"2018-11-28 22:00",4.63,4.634,4.621,4.624,-0.006,-0.13%,161
"2018-11-28 22:30",4.624,4.624,4.606,4.608,-0.016,-0.35%,342
"2018-11-28 23:00",4.608,4.615,4.562,4.576,-0.032,-0.69%,1074
"2018-11-28 23:30",4.574,4.6,4.555,4.561,-0.015,-0.33%,993
"2018-11-29 00:00",4.561,4.57,4.543,4.565,0.004,+0.09%,648
"2018-11-29 00:30",4.566,4.588,4.555,4.565,0,0.00%,564
"2018-11-29 01:00",4.566,4.578,4.546,4.561,-0.004,-0.09%,765
"2018-11-29 01:30",4.564,4.674,4.536,4.625,0.064,+1.40%,2035
"2018-11-29 02:00",4.625,4.656,4.61,4.622,-0.003,-0.06%,1135
"2018-11-29 02:30",4.62,4.641,4.602,4.616,-0.006,-0.13%,948
"2018-11-29 03:00",4.616,4.634,4.598,4.602,-0.014,-0.30%,646
"2018-11-29 03:30",4.602,4.631,4.601,4.604,0.002,+0.04%,402
"2018-11-29 04:00",4.604,4.604,4.55,4.56,-0.044,-0.96%,1312
"2018-11-29 04:30",4.558,4.583,4.542,4.579,0.019,+0.42%,884
"2018-11-29 05:00",4.577,4.58,4.552,4.562,-0.017,-0.37%,735
"2018-11-29 05:30",4.562,4.635,4.55,4.566,0.004,+0.09%,1906
"2018-11-29 06:00",4.568,4.613,4.563,4.573,0.007,+0.15%,1313
"2018-11-29 06:30",4.571,4.62,4.546,4.612,0.039,+0.85%,2685
"2018-11-29 07:00",4.608,4.629,4.546,4.56,-0.052,-1.13%,6416
"2018-11-29 07:30",4.56,4.581,4.54,4.56,0,0.00%,4538
"2018-11-29 08:00",4.558,4.568,4.498,4.567,0.007,+0.15%,11974
"2018-11-29 08:30",4.563,4.586,4.505,4.526,-0.041,-0.90%,8647
"2018-11-29 09:00",4.528,4.56,4.508,4.555,0.029,+0.64%,7998
"2018-11-29 09:30",4.56,4.56,4.452,4.534,-0.021,-0.46%,20612
"2018-11-29 10:00",4.535,4.541,4.478,4.491,-0.043,-0.95%,9367
"2018-11-29 10:30",4.49,4.543,4.471,4.531,0.04,+0.89%,8292
"2018-11-29 11:00",4.529,4.631,4.524,4.556,0.025,+0.55%,13912
"2018-11-29 11:30",4.556,4.663,4.543,4.661,0.105,+2.30%,7856
"2018-11-29 12:00",4.66,4.661,4.608,4.635,-0.026,-0.56%,6865
"2018-11-29 12:30",4.635,4.653,4.588,4.639,0.004,+0.09%,7008
"2018-11-29 13:00",4.64,4.655,4.611,4.642,0.003,+0.06%,7840
"2018-11-29 13:30",4.642,4.648,4.569,4.588,-0.054,-1.16%,4668
"2018-11-29 14:00",4.59,4.595,4.575,4.578,-0.01,-0.22%,1397
"2018-11-29 14:30",4.576,4.587,4.56,4.579,0.001,+0.02%,1264
"2018-11-29 15:00",4.582,4.591,4.58,4.588,0.009,+0.20%,348
"2018-11-29 15:30",4.588,4.6,4.586,4.597,0.009,+0.20%,527
"2018-11-29 17:00",4.584,4.602,4.584,4.59,-0.007,-0.15%,239
"2018-11-29 17:30",4.594,4.64,4.592,4.628,0.038,+0.83%,301
"2018-11-29 18:00",4.632,4.637,4.618,4.627,-0.001,-0.02%,300
"2018-11-29 18:30",4.626,4.631,4.618,4.625,-0.002,-0.04%,181
"2018-11-29 19:00",4.624,4.629,4.618,4.626,0.001,+0.02%,157
"2018-11-29 19:30",4.627,4.635,4.62,4.625,-0.001,-0.02%,198
"2018-11-29 20:00",4.626,4.628,4.621,4.625,0,0.00%,86
"2018-11-29 20:30",4.622,4.628,4.621,4.627,0.002,+0.04%,68
"2018-11-29 21:00",4.625,4.776,4.622,4.659,0.032,+0.69%,1349
"2018-11-29 21:30",4.659,4.679,4.621,4.622,-0.037,-0.79%,739
"2018-11-29 22:00",4.624,4.629,4.579,4.594,-0.028,-0.61%,599
"2018-11-29 22:30",4.593,4.627,4.582,4.596,0.002,+0.04%,548
"2018-11-29 23:00",4.595,4.625,4.561,4.6,0.004,+0.09%,985
"2018-11-29 23:30",4.6,4.613,4.584,4.604,0.004,+0.09%,288
"2018-11-30 00:00",4.604,4.615,4.583,4.604,0,0.00%,229
"2018-11-30 00:30",4.602,4.644,4.596,4.639,0.035,+0.76%,465
"2018-11-30 01:00",4.638,4.675,4.624,4.65,0.011,+0.24%,991
"2018-11-30 01:30",4.65,4.654,4.595,4.599,-0.051,-1.10%,698
"2018-11-30 02:00",4.6,4.63,4.598,4.604,0.005,+0.11%,430
"2018-11-30 02:30",4.602,4.619,4.577,4.618,0.014,+0.30%,490
"2018-11-30 03:00",4.618,4.627,4.591,4.615,-0.003,-0.06%,348
"2018-11-30 03:30",4.615,4.632,4.601,4.628,0.013,+0.28%,359
"2018-11-30 04:00",4.628,4.634,4.608,4.614,-0.014,-0.30%,456
