Time,Open,High,Low,Latest,Change,%Change,Volume
"2015-01-05 00:00",3.123,3.127,3.119,3.121,-0.001,-0.03%,275
"2015-01-05 00:30",3.119,3.131,3.116,3.126,0.005,+0.16%,184
"2015-01-05 01:00",3.127,3.133,3.116,3.12,-0.006,-0.19%,231
"2015-01-05 01:30",3.12,3.135,3.12,3.132,0.012,+0.38%,241
"2015-01-05 02:00",3.131,3.134,3.116,3.131,-0.001,-0.03%,165
"2015-01-05 02:30",3.133,3.135,3.093,3.099,-0.032,-1.02%,464
"2015-01-05 03:00",3.1,3.107,3.095,3.104,0.005,+0.16%,100
"2015-01-05 03:30",3.105,3.113,3.103,3.111,0.007,+0.23%,102
"2015-01-05 04:00",3.112,3.116,3.109,3.114,0.003,+0.10%,78
"2015-01-05 04:30",3.114,3.125,3.109,3.122,0.008,+0.26%,181
"2015-01-05 05:00",3.123,3.127,3.113,3.125,0.003,+0.10%,304
"2015-01-05 05:30",3.126,3.133,3.105,3.109,-0.016,-0.51%,388
"2015-01-05 06:00",3.109,3.143,3.109,3.141,0.032,+1.03%,906
"2015-01-05 06:30",3.141,3.149,3.115,3.124,-0.017,-0.54%,1162
"2015-01-05 07:00",3.125,3.176,3.122,3.172,0.048,+1.54%,3210
"2015-01-05 07:30",3.171,3.172,3.135,3.14,-0.032,-1.01%,3121
"2015-01-05 08:00",3.14,3.141,3.07,3.084,-0.056,-1.78%,11330
"2015-01-05 08:30",3.084,3.085,3.033,3.062,-0.022,-0.71%,11219
"2015-01-05 09:00",3.06,3.062,3.006,3.012,-0.05,-1.63%,7265
"2015-01-05 09:30",3.012,3.053,3.008,3.05,0.038,+1.26%,5950
"2015-01-05 10:00",3.051,3.067,3.024,3.026,-0.024,-0.79%,6318
"2015-01-05 10:30",3.026,3.044,3.017,3.04,0.014,+0.46%,4260
"2015-01-05 11:00",3.04,3.054,3.028,3.03,-0.01,-0.33%,3440
"2015-01-05 11:30",3.031,3.032,2.968,2.969,-0.061,-2.01%,9735
"2015-01-05 12:00",2.969,2.997,2.965,2.991,0.022,+0.74%,4443
"2015-01-05 12:30",2.991,2.994,2.931,2.934,-0.057,-1.91%,7898
"2015-01-05 13:00",2.935,2.935,2.875,2.88,-0.054,-1.84%,18756
"2015-01-05 13:30",2.88,2.932,2.877,2.925,0.045,+1.56%,5157
"2015-01-05 14:00",2.925,2.933,2.904,2.928,0.003,+0.10%,1382
"2015-01-05 14:30",2.926,2.94,2.924,2.937,0.009,+0.31%,1007
"2015-01-05 15:00",2.935,2.938,2.912,2.914,-0.023,-0.78%,393
"2015-01-05 15:30",2.913,2.918,2.91,2.916,0.002,+0.07%,293
"2015-01-05 16:00",2.918,2.932,2.918,2.929,0.013,+0.45%,195
"2015-01-05 17:00",2.921,2.95,2.92,2.941,0.012,+0.41%,151
"2015-01-05 17:30",2.942,2.943,2.925,2.934,-0.007,-0.24%,63
"2015-01-05 18:00",2.934,2.934,2.908,2.919,-0.015,-0.51%,231
"2015-01-05 18:30",2.919,2.94,2.918,2.938,0.019,+0.65%,57
"2015-01-05 19:00",2.939,2.939,2.928,2.936,-0.002,-0.07%,95
"2015-01-05 19:30",2.935,2.942,2.933,2.941,0.005,+0.17%,53
"2015-01-05 20:00",2.939,2.942,2.938,2.942,0.001,+0.03%,38
"2015-01-05 20:30",2.942,2.943,2.932,2.935,-0.007,-0.24%,87
"2015-01-05 21:00",2.939,2.942,2.936,2.94,0.005,+0.17%,25
"2015-01-05 21:30",2.941,2.941,2.936,2.94,0,0.00%,22
"2015-01-05 22:00",2.94,2.941,2.93,2.935,-0.005,-0.17%,88
"2015-01-05 22:30",2.935,2.938,2.927,2.933,-0.002,-0.07%,195
"2015-01-05 23:00",2.933,2.936,2.93,2.93,-0.003,-0.10%,45
"2015-01-05 23:30",2.93,2.934,2.93,2.934,0.004,+0.14%,16
"2015-01-06 00:00",2.934,2.934,2.916,2.925,-0.009,-0.31%,88
"2015-01-06 00:30",2.925,2.926,2.913,2.914,-0.011,-0.38%,93
"2015-01-06 01:00",2.914,2.918,2.907,2.908,-0.006,-0.21%,138
"2015-01-06 01:30",2.907,2.907,2.876,2.883,-0.025,-0.86%,948
"2015-01-06 02:00",2.883,2.886,2.87,2.877,-0.006,-0.21%,326
"2015-01-06 02:30",2.878,2.878,2.871,2.873,-0.004,-0.14%,145
"2015-01-06 03:00",2.873,2.878,2.855,2.855,-0.018,-0.63%,353
"2015-01-06 03:30",2.854,2.857,2.83,2.85,-0.005,-0.18%,465
"2015-01-06 04:00",2.842,2.85,2.831,2.835,-0.015,-0.53%,119
"2015-01-06 04:30",2.839,2.847,2.823,2.827,-0.008,-0.28%,304
"2015-01-06 05:00",2.827,2.84,2.812,2.84,0.013,+0.46%,604
"2015-01-06 05:30",2.841,2.88,2.835,2.871,0.031,+1.09%,653
"2015-01-06 06:00",2.875,2.901,2.872,2.893,0.022,+0.77%,752
"2015-01-06 06:30",2.894,2.909,2.887,2.896,0.003,+0.10%,1125
"2015-01-06 07:00",2.898,2.904,2.811,2.838,-0.058,-2.00%,4133
"2015-01-06 07:30",2.838,2.856,2.837,2.852,0.014,+0.49%,2940
"2015-01-06 08:00",2.852,2.903,2.852,2.881,0.029,+1.02%,9683
"2015-01-06 08:30",2.88,2.908,2.862,2.898,0.017,+0.59%,5400
"2015-01-06 09:00",2.899,2.931,2.886,2.896,-0.002,-0.07%,7101
"2015-01-06 09:30",2.895,2.918,2.877,2.894,-0.002,-0.07%,4702
"2015-01-06 10:00",2.893,2.895,2.837,2.848,-0.046,-1.59%,8030
"2015-01-06 10:30",2.846,2.871,2.836,2.863,0.015,+0.53%,4324
"2015-01-06 11:00",2.863,2.887,2.851,2.881,0.018,+0.63%,4769
"2015-01-06 11:30",2.881,2.893,2.874,2.884,0.003,+0.10%,2360
"2015-01-06 12:00",2.885,2.886,2.851,2.881,-0.003,-0.10%,2532
"2015-01-06 12:30",2.882,2.919,2.874,2.912,0.031,+1.08%,4274
"2015-01-06 13:00",2.912,2.955,2.91,2.937,0.025,+0.86%,12383
"2015-01-06 13:30",2.938,2.947,2.921,2.943,0.006,+0.20%,1508
"2015-01-06 14:00",2.943,2.954,2.929,2.951,0.008,+0.27%,1229
"2015-01-06 14:30",2.951,2.955,2.943,2.947,-0.004,-0.14%,1180
"2015-01-06 15:00",2.949,2.951,2.943,2.945,-0.002,-0.07%,135
"2015-01-06 15:30",2.945,2.949,2.942,2.944,-0.001,-0.03%,283
"2015-01-06 16:00",2.945,2.952,2.943,2.944,0,0.00%,74
"2015-01-06 17:00",2.949,2.959,2.931,2.933,-0.011,-0.37%,232
"2015-01-06 17:30",2.932,2.937,2.924,2.934,0.001,+0.03%,151
"2015-01-06 18:00",2.935,2.935,2.923,2.93,-0.004,-0.14%,65
"2015-01-06 18:30",2.928,2.93,2.921,2.922,-0.008,-0.27%,66
"2015-01-06 19:00",2.922,2.928,2.919,2.924,0.002,+0.07%,74
"2015-01-06 19:30",2.924,2.935,2.923,2.933,0.009,+0.31%,102
"2015-01-06 20:00",2.933,2.939,2.931,2.938,0.005,+0.17%,53
"2015-01-06 20:30",2.938,2.947,2.938,2.947,0.009,+0.31%,39
"2015-01-06 21:00",2.945,2.947,2.94,2.94,-0.007,-0.24%,38
"2015-01-06 21:30",2.938,2.941,2.928,2.932,-0.008,-0.27%,36
"2015-01-06 22:00",2.93,2.935,2.927,2.933,0.001,+0.03%,89
"2015-01-06 22:30",2.932,2.933,2.922,2.922,-0.011,-0.38%,220
"2015-01-06 23:00",2.921,2.924,2.92,2.924,0.002,+0.07%,60
"2015-01-06 23:30",2.924,2.936,2.909,2.917,-0.007,-0.24%,582
"2015-01-07 00:00",2.919,2.924,2.912,2.919,0.002,+0.07%,85
"2015-01-07 00:30",2.922,2.934,2.913,2.934,0.015,+0.51%,94
