Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-01-26 17:00",3.293,3.345,3.287,3.342,-0.089,-2.59%,2763
"2025-01-26 17:30",3.341,3.341,3.33,3.332,-0.01,-0.30%,515
"2025-01-26 18:00",3.333,3.333,3.329,3.332,0,0.00%,261
"2025-01-26 18:30",3.331,3.332,3.32,3.32,-0.012,-0.36%,270
"2025-01-26 19:00",3.32,3.32,3.302,3.308,-0.012,-0.36%,904
"2025-01-26 19:30",3.309,3.31,3.305,3.308,0,0.00%,219
"2025-01-26 20:00",3.307,3.31,3.302,3.305,-0.003,-0.09%,432
"2025-01-26 20:30",3.304,3.323,3.303,3.322,0.017,+0.51%,242
"2025-01-26 21:00",3.322,3.325,3.316,3.323,0.001,+0.03%,239
"2025-01-26 21:30",3.322,3.326,3.315,3.319,-0.004,-0.12%,318
"2025-01-26 22:00",3.317,3.319,3.306,3.314,-0.005,-0.15%,351
"2025-01-26 22:30",3.315,3.318,3.312,3.313,-0.001,-0.03%,122
"2025-01-26 23:00",3.314,3.315,3.305,3.305,-0.008,-0.24%,197
"2025-01-26 23:30",3.305,3.308,3.289,3.304,-0.001,-0.03%,1111
"2025-01-27 00:00",3.304,3.317,3.284,3.285,-0.019,-0.58%,1304
"2025-01-27 00:30",3.286,3.299,3.282,3.283,-0.002,-0.06%,1128
"2025-01-27 01:00",3.284,3.285,3.266,3.268,-0.015,-0.46%,1386
"2025-01-27 01:30",3.268,3.273,3.263,3.263,-0.005,-0.15%,987
"2025-01-27 02:00",3.263,3.271,3.258,3.269,0.006,+0.18%,818
"2025-01-27 02:30",3.268,3.271,3.256,3.257,-0.012,-0.37%,726
"2025-01-27 03:00",3.258,3.272,3.258,3.263,0.006,+0.18%,957
"2025-01-27 03:30",3.263,3.267,3.251,3.257,-0.006,-0.18%,1029
"2025-01-27 04:00",3.257,3.265,3.254,3.254,-0.003,-0.09%,746
"2025-01-27 04:30",3.254,3.26,3.244,3.25,-0.004,-0.12%,920
"2025-01-27 05:00",3.249,3.266,3.245,3.262,0.012,+0.37%,1327
"2025-01-27 05:30",3.262,3.277,3.26,3.268,0.006,+0.18%,971
"2025-01-27 06:00",3.27,3.297,3.261,3.291,0.023,+0.70%,1677
"2025-01-27 06:30",3.291,3.316,3.286,3.31,0.019,+0.58%,2518
"2025-01-27 07:00",3.31,3.311,3.278,3.279,-0.031,-0.94%,3728
