Time,Open,High,Low,Latest,Change,%Change,Volume
"2019-02-27 00:00",2.787,2.79,2.779,2.785,-0.001,-0.04%,314
"2019-02-27 00:30",2.783,2.784,2.776,2.778,-0.007,-0.25%,174
"2019-02-27 01:00",2.778,2.779,2.775,2.776,-0.002,-0.07%,134
"2019-02-27 01:30",2.775,2.776,2.771,2.775,-0.001,-0.04%,303
"2019-02-27 02:00",2.776,2.78,2.772,2.777,0.002,+0.07%,268
"2019-02-27 02:30",2.777,2.784,2.775,2.778,0.001,+0.04%,194
"2019-02-27 03:00",2.778,2.789,2.776,2.783,0.005,+0.18%,296
"2019-02-27 03:30",2.782,2.786,2.777,2.783,0,0.00%,186
"2019-02-27 04:00",2.784,2.787,2.776,2.776,-0.007,-0.25%,227
"2019-02-27 04:30",2.777,2.78,2.771,2.774,-0.002,-0.07%,151
"2019-02-27 05:00",2.774,2.781,2.772,2.779,0.005,+0.18%,319
"2019-02-27 05:30",2.781,2.781,2.771,2.772,-0.007,-0.25%,431
"2019-02-27 06:00",2.771,2.772,2.762,2.768,-0.004,-0.14%,815
"2019-02-27 06:30",2.769,2.769,2.758,2.762,-0.006,-0.22%,817
"2019-02-27 07:00",2.762,2.765,2.742,2.746,-0.016,-0.58%,3517
"2019-02-27 07:30",2.745,2.749,2.741,2.742,-0.004,-0.15%,3062
"2019-02-27 08:00",2.742,2.766,2.732,2.765,0.023,+0.84%,8422
"2019-02-27 08:30",2.764,2.77,2.756,2.76,-0.005,-0.18%,4246
"2019-02-27 09:00",2.76,2.769,2.758,2.766,0.006,+0.22%,3098
"2019-02-27 09:30",2.766,2.787,2.766,2.787,0.021,+0.76%,6392
"2019-02-27 10:00",2.786,2.796,2.785,2.787,0,0.00%,6669
"2019-02-27 10:30",2.788,2.793,2.779,2.789,0.002,+0.07%,3407
"2019-02-27 11:00",2.789,2.791,2.775,2.781,-0.008,-0.29%,4521
"2019-02-27 11:30",2.781,2.786,2.775,2.785,0.004,+0.14%,3112
"2019-02-27 12:00",2.786,2.792,2.784,2.785,0,0.00%,2288
"2019-02-27 12:30",2.785,2.793,2.781,2.79,0.005,+0.18%,2291
"2019-02-27 13:00",2.791,2.802,2.789,2.797,0.007,+0.25%,6380
"2019-02-27 13:30",2.797,2.808,2.793,2.803,0.006,+0.21%,3752
"2019-02-27 14:00",2.802,2.806,2.801,2.805,0.002,+0.07%,900
"2019-02-27 14:30",2.804,2.809,2.802,2.806,0.001,+0.04%,1005
"2019-02-27 15:00",2.806,2.81,2.805,2.808,0.002,+0.07%,453
"2019-02-27 15:30",2.808,2.812,2.806,2.812,0.004,+0.14%,561
"2019-02-27 17:00",2.808,2.813,2.806,2.809,-0.003,-0.11%,213
"2019-02-27 17:30",2.81,2.81,2.807,2.809,0,0.00%,48
"2019-02-27 18:00",2.807,2.81,2.806,2.81,0.001,+0.04%,122
"2019-02-27 18:30",2.811,2.811,2.808,2.808,-0.002,-0.07%,52
"2019-02-27 19:00",2.809,2.811,2.807,2.807,-0.001,-0.04%,121
"2019-02-27 19:30",2.807,2.809,2.806,2.807,0,0.00%,51
"2019-02-27 20:00",2.807,2.809,2.806,2.808,0.001,+0.04%,64
"2019-02-27 20:30",2.808,2.809,2.806,2.808,0,0.00%,48
"2019-02-27 21:00",2.808,2.811,2.808,2.81,0.002,+0.07%,68
"2019-02-27 21:30",2.809,2.812,2.809,2.811,0.001,+0.04%,52
"2019-02-27 22:00",2.811,2.812,2.81,2.81,-0.001,-0.04%,45
"2019-02-27 22:30",2.81,2.813,2.806,2.807,-0.003,-0.11%,111
"2019-02-27 23:00",2.808,2.815,2.806,2.807,0,0.00%,228
"2019-02-27 23:30",2.806,2.808,2.8,2.8,-0.007,-0.25%,268
"2019-02-28 00:00",2.801,2.804,2.8,2.801,0.001,+0.04%,148
"2019-02-28 00:30",2.801,2.803,2.796,2.803,0.002,+0.07%,130
"2019-02-28 01:00",2.803,2.807,2.802,2.804,0.001,+0.04%,144
"2019-02-28 01:30",2.805,2.815,2.798,2.798,-0.006,-0.21%,526
"2019-02-28 02:00",2.799,2.807,2.799,2.806,0.008,+0.29%,296
"2019-02-28 02:30",2.806,2.813,2.806,2.812,0.006,+0.21%,311
"2019-02-28 03:00",2.812,2.819,2.81,2.817,0.005,+0.18%,458
"2019-02-28 03:30",2.816,2.817,2.81,2.815,-0.002,-0.07%,202
"2019-02-28 04:00",2.814,2.824,2.813,2.822,0.007,+0.25%,261
"2019-02-28 04:30",2.821,2.822,2.819,2.819,-0.003,-0.11%,149
"2019-02-28 05:00",2.818,2.835,2.818,2.835,0.016,+0.57%,1019
"2019-02-28 05:30",2.835,2.837,2.822,2.834,-0.001,-0.04%,844
"2019-02-28 06:00",2.833,2.833,2.82,2.831,-0.003,-0.11%,694
"2019-02-28 06:30",2.83,2.831,2.819,2.822,-0.009,-0.32%,944
"2019-02-28 07:00",2.821,2.831,2.817,2.829,0.007,+0.25%,2262
"2019-02-28 07:30",2.829,2.835,2.822,2.834,0.005,+0.18%,2482
"2019-02-28 08:00",2.833,2.838,2.826,2.833,-0.001,-0.04%,3878
"2019-02-28 08:30",2.833,2.843,2.827,2.828,-0.005,-0.18%,7497
"2019-02-28 09:00",2.828,2.832,2.815,2.818,-0.01,-0.35%,4823
"2019-02-28 09:30",2.818,2.827,2.801,2.816,-0.002,-0.07%,10424
"2019-02-28 10:00",2.815,2.818,2.793,2.794,-0.022,-0.78%,5732
"2019-02-28 10:30",2.793,2.807,2.787,2.798,0.004,+0.14%,6083
"2019-02-28 11:00",2.798,2.814,2.795,2.809,0.011,+0.39%,4855
"2019-02-28 11:30",2.81,2.811,2.802,2.803,-0.006,-0.21%,2312
"2019-02-28 12:00",2.803,2.819,2.802,2.812,0.009,+0.32%,3302
"2019-02-28 12:30",2.811,2.819,2.811,2.814,0.002,+0.07%,2672
"2019-02-28 13:00",2.815,2.816,2.804,2.815,0.001,+0.04%,7119
"2019-02-28 13:30",2.816,2.818,2.812,2.815,0,0.00%,2109
"2019-02-28 14:00",2.815,2.816,2.808,2.811,-0.004,-0.14%,1003
"2019-02-28 14:30",2.81,2.811,2.804,2.806,-0.005,-0.18%,1101
"2019-02-28 15:00",2.806,2.807,2.802,2.806,0,0.00%,414
"2019-02-28 15:30",2.806,2.807,2.804,2.807,0.001,+0.04%,443
"2019-02-28 17:00",2.805,2.809,2.802,2.803,-0.004,-0.14%,171
"2019-02-28 17:30",2.803,2.803,2.794,2.799,-0.004,-0.14%,269
