Time,Open,High,Low,Latest,Change,%Change,Volume
"2016-03-27 17:00",1.863,1.871,1.855,1.857,-0.028,-1.49%,677
"2016-03-27 17:30",1.856,1.865,1.855,1.865,0.008,+0.43%,118
"2016-03-27 18:00",1.865,1.869,1.864,1.864,-0.001,-0.05%,114
"2016-03-27 18:30",1.863,1.869,1.862,1.865,0.001,+0.05%,72
"2016-03-27 19:00",1.866,1.867,1.86,1.861,-0.004,-0.21%,81
"2016-03-27 19:30",1.862,1.862,1.857,1.857,-0.004,-0.21%,177
"2016-03-27 20:00",1.858,1.861,1.857,1.861,0.004,+0.22%,71
"2016-03-27 20:30",1.861,1.862,1.861,1.862,0.001,+0.05%,22
"2016-03-27 21:00",1.862,1.862,1.856,1.859,-0.003,-0.16%,111
"2016-03-27 21:30",1.86,1.86,1.855,1.86,0.001,+0.05%,59
"2016-03-27 22:00",1.86,1.862,1.858,1.858,-0.002,-0.11%,35
"2016-03-27 22:30",1.86,1.862,1.86,1.862,0.004,+0.22%,15
"2016-03-27 23:00",1.862,1.864,1.859,1.859,-0.003,-0.16%,24
"2016-03-27 23:30",1.86,1.861,1.856,1.858,-0.001,-0.05%,69
"2016-03-28 00:00",1.858,1.858,1.855,1.855,-0.003,-0.16%,43
"2016-03-28 00:30",1.855,1.859,1.854,1.854,-0.001,-0.05%,87
"2016-03-28 01:00",1.854,1.858,1.851,1.858,0.004,+0.22%,207
"2016-03-28 01:30",1.858,1.858,1.856,1.856,-0.002,-0.11%,37
"2016-03-28 02:00",1.856,1.859,1.855,1.858,0.002,+0.11%,91
"2016-03-28 02:30",1.858,1.858,1.854,1.856,-0.002,-0.11%,174
"2016-03-28 03:00",1.856,1.858,1.855,1.856,0,0.00%,50
"2016-03-28 03:30",1.857,1.858,1.856,1.857,0.001,+0.05%,51
"2016-03-28 04:00",1.858,1.858,1.839,1.841,-0.016,-0.86%,640
"2016-03-28 04:30",1.842,1.843,1.84,1.842,0.001,+0.05%,64
"2016-03-28 05:00",1.843,1.847,1.842,1.845,0.003,+0.16%,148
"2016-03-28 05:30",1.846,1.846,1.837,1.839,-0.006,-0.33%,326
"2016-03-28 06:00",1.839,1.855,1.839,1.847,0.008,+0.44%,445
"2016-03-28 06:30",1.846,1.861,1.841,1.853,0.006,+0.32%,1284
"2016-03-28 07:00",1.853,1.854,1.844,1.849,-0.004,-0.22%,1132
"2016-03-28 07:30",1.848,1.853,1.845,1.853,0.004,+0.22%,1379
"2016-03-28 08:00",1.853,1.891,1.853,1.877,0.024,+1.30%,9423
"2016-03-28 08:30",1.878,1.901,1.874,1.893,0.016,+0.85%,8058
"2016-03-28 09:00",1.894,1.899,1.89,1.89,-0.003,-0.16%,2777
"2016-03-28 09:30",1.89,1.891,1.88,1.889,-0.001,-0.05%,3778
"2016-03-28 10:00",1.889,1.894,1.872,1.877,-0.012,-0.64%,3979
"2016-03-28 10:30",1.877,1.894,1.868,1.893,0.016,+0.85%,5812
"2016-03-28 11:00",1.893,1.916,1.893,1.912,0.019,+1.00%,8854
"2016-03-28 11:30",1.912,1.933,1.912,1.924,0.012,+0.63%,10446
"2016-03-28 12:00",1.924,1.931,1.919,1.919,-0.005,-0.26%,5395
"2016-03-28 12:30",1.919,1.929,1.913,1.925,0.006,+0.31%,5059
"2016-03-28 13:00",1.925,1.937,1.923,1.936,0.011,+0.57%,13131
"2016-03-28 13:30",1.936,1.942,1.934,1.935,-0.001,-0.05%,3959
"2016-03-28 14:00",1.934,1.938,1.932,1.937,0.002,+0.10%,1352
"2016-03-28 14:30",1.937,1.937,1.93,1.933,-0.004,-0.21%,1510
"2016-03-28 15:00",1.933,1.938,1.931,1.937,0.004,+0.21%,628
"2016-03-28 15:30",1.937,1.94,1.935,1.939,0.002,+0.10%,289
