Time,Open,High,Low,Latest,Change,%Change,Volume
"2024-04-29 00:00",1.949,1.949,1.945,1.949,0.001,+0.05%,205
"2024-04-29 00:30",1.949,1.965,1.948,1.963,0.014,+0.72%,884
"2024-04-29 01:00",1.963,1.966,1.955,1.956,-0.007,-0.36%,592
"2024-04-29 01:30",1.956,1.959,1.952,1.954,-0.002,-0.10%,269
"2024-04-29 02:00",1.954,1.958,1.953,1.956,0.002,+0.10%,483
"2024-04-29 02:30",1.956,1.962,1.956,1.961,0.005,+0.26%,513
"2024-04-29 03:00",1.961,1.965,1.957,1.961,0,0.00%,583
"2024-04-29 03:30",1.961,1.961,1.957,1.96,-0.001,-0.05%,450
"2024-04-29 04:00",1.96,1.964,1.953,1.958,-0.002,-0.10%,666
"2024-04-29 04:30",1.958,1.959,1.953,1.956,-0.002,-0.10%,249
"2024-04-29 05:00",1.956,1.957,1.941,1.942,-0.014,-0.72%,741
"2024-04-29 05:30",1.941,1.946,1.933,1.94,-0.002,-0.10%,764
"2024-04-29 06:00",1.941,1.949,1.936,1.937,-0.003,-0.15%,648
"2024-04-29 06:30",1.937,1.941,1.921,1.923,-0.014,-0.72%,2114
"2024-04-29 07:00",1.923,1.944,1.922,1.928,0.005,+0.26%,3350
"2024-04-29 07:30",1.927,1.959,1.916,1.943,0.015,+0.78%,5868
"2024-04-29 08:00",1.942,1.97,1.942,1.958,0.015,+0.77%,7047
"2024-04-29 08:30",1.958,1.976,1.956,1.97,0.012,+0.61%,6938
"2024-04-29 09:00",1.97,1.991,1.968,1.987,0.017,+0.86%,7901
"2024-04-29 09:30",1.987,1.997,1.984,1.994,0.007,+0.35%,8400
"2024-04-29 10:00",1.993,2.016,1.993,2.013,0.019,+0.95%,10371
"2024-04-29 10:30",2.013,2.023,2.004,2.02,0.007,+0.35%,9932
"2024-04-29 11:00",2.019,2.031,2.015,2.029,0.009,+0.45%,5936
"2024-04-29 11:30",2.03,2.038,2.022,2.03,0.001,+0.05%,7927
"2024-04-29 12:00",2.029,2.036,2.024,2.033,0.003,+0.15%,4424
"2024-04-29 12:30",2.034,2.035,2.004,2.018,-0.015,-0.74%,8593
"2024-04-29 13:00",2.018,2.035,2.014,2.034,0.016,+0.79%,9297
"2024-04-29 13:30",2.033,2.037,2.029,2.034,0,0.00%,3482
"2024-04-29 14:00",2.033,2.045,2.033,2.042,0.008,+0.39%,2586
"2024-04-29 14:30",2.043,2.049,2.041,2.043,0.001,+0.05%,2585
"2024-04-29 15:00",2.042,2.051,2.041,2.05,0.007,+0.34%,1109
"2024-04-29 15:30",2.049,2.056,2.043,2.049,-0.001,-0.05%,869
"2024-04-29 17:00",2.05,2.057,2.048,2.051,0.002,+0.10%,412
"2024-04-29 17:30",2.05,2.051,2.045,2.047,-0.004,-0.20%,213
"2024-04-29 18:00",2.046,2.049,2.045,2.045,-0.002,-0.10%,145
"2024-04-29 18:30",2.047,2.053,2.044,2.044,-0.001,-0.05%,392
"2024-04-29 19:00",2.044,2.048,2.039,2.046,0.002,+0.10%,644
"2024-04-29 19:30",2.047,2.049,2.043,2.045,-0.001,-0.05%,430
"2024-04-29 20:00",2.046,2.057,2.046,2.054,0.009,+0.44%,775
"2024-04-29 20:30",2.055,2.061,2.055,2.055,0.001,+0.05%,355
"2024-04-29 21:00",2.054,2.069,2.054,2.067,0.012,+0.58%,551
"2024-04-29 21:30",2.066,2.073,2.064,2.067,0,0.00%,468
"2024-04-29 22:00",2.066,2.067,2.064,2.065,-0.002,-0.10%,112
"2024-04-29 22:30",2.064,2.069,2.06,2.065,0,0.00%,255
"2024-04-29 23:00",2.065,2.068,2.063,2.068,0.003,+0.15%,139
"2024-04-29 23:30",2.068,2.07,2.065,2.065,-0.003,-0.15%,155
"2024-04-30 00:00",2.065,2.065,2.062,2.064,-0.001,-0.05%,236
"2024-04-30 00:30",2.064,2.066,2.062,2.062,-0.002,-0.10%,266
"2024-04-30 01:00",2.062,2.063,2.053,2.056,-0.006,-0.29%,1135
"2024-04-30 01:30",2.057,2.069,2.057,2.068,0.012,+0.58%,759
"2024-04-30 02:00",2.069,2.081,2.069,2.079,0.011,+0.53%,1012
"2024-04-30 02:30",2.079,2.087,2.079,2.083,0.004,+0.19%,1038
"2024-04-30 03:00",2.082,2.086,2.08,2.085,0.002,+0.10%,458
"2024-04-30 03:30",2.086,2.088,2.076,2.078,-0.007,-0.34%,879
"2024-04-30 04:00",2.078,2.081,2.066,2.079,0.001,+0.05%,1207
"2024-04-30 04:30",2.079,2.084,2.073,2.073,-0.006,-0.29%,686
"2024-04-30 05:00",2.074,2.078,2.066,2.073,0,0.00%,970
"2024-04-30 05:30",2.072,2.089,2.072,2.086,0.013,+0.63%,793
"2024-04-30 06:00",2.086,2.092,2.072,2.077,-0.009,-0.43%,1375
"2024-04-30 06:30",2.077,2.086,2.053,2.08,0.003,+0.14%,3531
"2024-04-30 07:00",2.081,2.081,2.039,2.042,-0.038,-1.83%,6176
"2024-04-30 07:30",2.042,2.053,2.03,2.038,-0.004,-0.20%,5017
"2024-04-30 08:00",2.039,2.057,2.026,2.052,0.014,+0.69%,7009
"2024-04-30 08:30",2.051,2.052,2.022,2.034,-0.018,-0.88%,5929
"2024-04-30 09:00",2.033,2.049,2.031,2.039,0.005,+0.25%,4628
"2024-04-30 09:30",2.039,2.048,2.032,2.048,0.009,+0.44%,3000
"2024-04-30 10:00",2.047,2.048,2.026,2.037,-0.011,-0.54%,3588
