Time,Open,High,Low,Latest,Change,%Change,Volume
"2022-05-27 00:00",8.806,8.824,8.8,8.81,0.006,+0.07%,147
"2022-05-27 00:30",8.816,8.877,8.807,8.81,0,0.00%,223
"2022-05-27 01:00",8.811,8.85,8.795,8.824,0.014,+0.16%,379
"2022-05-27 01:30",8.82,8.865,8.761,8.781,-0.043,-0.49%,430
"2022-05-27 02:00",8.776,8.831,8.772,8.823,0.042,+0.48%,209
"2022-05-27 02:30",8.826,8.837,8.714,8.759,-0.064,-0.73%,515
"2022-05-27 03:00",8.766,8.826,8.764,8.814,0.055,+0.63%,308
"2022-05-27 03:30",8.809,8.829,8.731,8.756,-0.058,-0.66%,320
"2022-05-27 04:00",8.756,8.778,8.732,8.769,0.013,+0.15%,163
"2022-05-27 04:30",8.771,8.799,8.75,8.756,-0.013,-0.15%,249
"2022-05-27 05:00",8.754,8.767,8.661,8.661,-0.095,-1.08%,728
"2022-05-27 05:30",8.664,8.719,8.641,8.675,0.014,+0.16%,672
"2022-05-27 06:00",8.675,8.68,8.583,8.63,-0.045,-0.52%,1234
"2022-05-27 06:30",8.628,8.63,8.529,8.534,-0.096,-1.11%,1888
"2022-05-27 07:00",8.533,8.564,8.456,8.458,-0.076,-0.89%,3060
"2022-05-27 07:30",8.456,8.499,8.41,8.479,0.021,+0.25%,4050
"2022-05-27 08:00",8.481,8.486,8.38,8.41,-0.069,-0.81%,7121
"2022-05-27 08:30",8.41,8.431,8.285,8.36,-0.05,-0.59%,9761
"2022-05-27 09:00",8.361,8.489,8.355,8.449,0.089,+1.06%,7331
"2022-05-27 09:30",8.444,8.608,8.426,8.588,0.139,+1.65%,5963
"2022-05-27 10:00",8.59,8.709,8.554,8.672,0.084,+0.98%,7432
"2022-05-27 10:30",8.672,8.708,8.642,8.665,-0.007,-0.08%,3063
"2022-05-27 11:00",8.667,8.804,8.662,8.726,0.061,+0.70%,4532
"2022-05-27 11:30",8.727,8.744,8.671,8.687,-0.039,-0.45%,2285
"2022-05-27 12:00",8.691,8.724,8.558,8.593,-0.094,-1.08%,4230
"2022-05-27 12:30",8.595,8.665,8.567,8.58,-0.013,-0.15%,2665
"2022-05-27 13:00",8.582,8.74,8.58,8.732,0.152,+1.77%,6500
"2022-05-27 13:30",8.733,8.747,8.703,8.727,-0.005,-0.06%,2148
"2022-05-27 14:00",8.723,8.764,8.692,8.728,0.001,+0.01%,1065
"2022-05-27 14:30",8.728,8.748,8.705,8.714,-0.014,-0.16%,717
"2022-05-27 15:00",8.714,8.737,8.706,8.721,0.007,+0.08%,336
"2022-05-27 15:30",8.72,8.737,8.705,8.708,-0.013,-0.15%,421
"2022-05-29 17:00",8.874,8.895,8.696,8.75,0.042,+0.48%,841
"2022-05-29 17:30",8.756,8.806,8.743,8.754,0.004,+0.05%,294
"2022-05-29 18:00",8.754,8.825,8.754,8.823,0.069,+0.79%,193
"2022-05-29 18:30",8.82,8.842,8.804,8.814,-0.009,-0.10%,103
"2022-05-29 19:00",8.811,8.831,8.808,8.83,0.016,+0.18%,123
"2022-05-29 19:30",8.823,8.835,8.823,8.835,0.005,+0.06%,29
"2022-05-29 20:00",8.83,8.86,8.826,8.85,0.015,+0.17%,188
"2022-05-29 20:30",8.85,8.859,8.845,8.858,0.008,+0.09%,76
"2022-05-29 21:00",8.859,8.861,8.848,8.853,-0.005,-0.06%,79
"2022-05-29 21:30",8.859,8.86,8.839,8.855,0.002,+0.02%,49
"2022-05-29 22:00",8.851,8.872,8.834,8.836,-0.019,-0.21%,253
"2022-05-29 22:30",8.839,8.857,8.819,8.845,0.009,+0.10%,220
"2022-05-29 23:00",8.841,8.841,8.811,8.82,-0.025,-0.28%,180
"2022-05-29 23:30",8.82,8.836,8.809,8.818,-0.002,-0.02%,198
"2022-05-30 00:00",8.819,8.879,8.805,8.831,0.013,+0.15%,868
"2022-05-30 00:30",8.828,8.874,8.806,8.827,-0.004,-0.05%,837
"2022-05-30 01:00",8.825,8.837,8.821,8.822,-0.005,-0.06%,116
"2022-05-30 01:30",8.824,8.862,8.818,8.833,0.011,+0.12%,156
"2022-05-30 02:00",8.833,8.836,8.807,8.81,-0.023,-0.26%,130
"2022-05-30 02:30",8.806,8.857,8.805,8.824,0.014,+0.16%,192
"2022-05-30 03:00",8.822,8.832,8.786,8.816,-0.008,-0.09%,245
"2022-05-30 03:30",8.81,8.84,8.795,8.821,0.005,+0.06%,139
"2022-05-30 04:00",8.822,8.844,8.794,8.807,-0.014,-0.16%,126
"2022-05-30 04:30",8.813,8.844,8.809,8.833,0.026,+0.30%,84
"2022-05-30 05:00",8.832,8.833,8.8,8.817,-0.016,-0.18%,85
"2022-05-30 05:30",8.821,8.83,8.813,8.822,0.005,+0.06%,74
"2022-05-30 06:00",8.826,8.916,8.826,8.886,0.064,+0.73%,741
"2022-05-30 06:30",8.887,8.903,8.804,8.834,-0.052,-0.59%,661
"2022-05-30 07:00",8.833,8.84,8.805,8.816,-0.018,-0.20%,348
"2022-05-30 07:30",8.814,8.84,8.789,8.812,-0.004,-0.05%,656
"2022-05-30 08:00",8.809,8.831,8.671,8.683,-0.129,-1.46%,1485
"2022-05-30 08:30",8.687,8.712,8.647,8.678,-0.005,-0.06%,773
"2022-05-30 09:00",8.681,8.734,8.664,8.707,0.029,+0.33%,741
"2022-05-30 09:30",8.713,8.74,8.687,8.708,0.001,+0.01%,365
"2022-05-30 10:00",8.709,8.73,8.69,8.699,-0.009,-0.10%,305
"2022-05-30 10:30",8.697,8.738,8.665,8.724,0.025,+0.29%,323
"2022-05-30 11:00",8.724,8.729,8.691,8.71,-0.014,-0.16%,226
"2022-05-30 11:30",8.709,8.725,8.691,8.715,0.005,+0.06%,208
"2022-05-30 12:00",8.715,8.749,8.715,8.731,0.016,+0.18%,233
"2022-05-30 12:30",8.728,8.756,8.724,8.756,0.025,+0.29%,179
"2022-05-30 13:00",8.756,8.799,8.66,8.701,-0.055,-0.63%,325
"2022-05-30 17:00",8.652,8.661,8.583,8.651,-0.05,-0.57%,683
"2022-05-30 17:30",8.652,8.683,8.634,8.683,0.032,+0.37%,255
"2022-05-30 18:00",8.684,8.696,8.678,8.684,0.001,+0.01%,124
"2022-05-30 18:30",8.681,8.695,8.675,8.687,0.003,+0.03%,162
"2022-05-30 19:00",8.687,8.691,8.639,8.673,-0.014,-0.16%,500
"2022-05-30 19:30",8.674,8.678,8.669,8.671,-0.002,-0.02%,110
"2022-05-30 20:00",8.669,8.678,8.661,8.678,0.007,+0.08%,90
"2022-05-30 20:30",8.678,8.679,8.653,8.663,-0.015,-0.17%,188
"2022-05-30 21:00",8.66,8.678,8.66,8.678,0.015,+0.17%,78
"2022-05-30 21:30",8.679,8.679,8.671,8.673,-0.005,-0.06%,54
"2022-05-30 22:00",8.673,8.695,8.664,8.688,0.015,+0.17%,62
"2022-05-30 22:30",8.691,8.718,8.684,8.709,0.021,+0.24%,157
"2022-05-30 23:00",8.712,8.713,8.701,8.709,0,0.00%,45
"2022-05-30 23:30",8.711,8.725,8.708,8.712,0.003,+0.03%,52
"2022-05-31 00:00",8.717,8.745,8.713,8.724,0.012,+0.14%,188
"2022-05-31 00:30",8.719,8.744,8.71,8.741,0.017,+0.19%,217
"2022-05-31 01:00",8.741,8.766,8.732,8.761,0.02,+0.23%,322
"2022-05-31 01:30",8.759,8.772,8.735,8.749,-0.012,-0.14%,394
"2022-05-31 02:00",8.748,8.772,8.735,8.739,-0.01,-0.11%,204
"2022-05-31 02:30",8.74,8.753,8.702,8.727,-0.012,-0.14%,230
"2022-05-31 03:00",8.728,8.76,8.719,8.73,0.003,+0.03%,426
"2022-05-31 03:30",8.729,8.76,8.722,8.736,0.006,+0.07%,154
"2022-05-31 04:00",8.74,8.754,8.696,8.714,-0.022,-0.25%,234
"2022-05-31 04:30",8.719,8.729,8.712,8.726,0.012,+0.14%,139
"2022-05-31 05:00",8.729,8.745,8.719,8.723,-0.003,-0.03%,140
"2022-05-31 05:30",8.721,8.73,8.655,8.66,-0.063,-0.72%,341
"2022-05-31 06:00",8.661,8.67,8.543,8.568,-0.092,-1.06%,1238
"2022-05-31 06:30",8.573,8.573,8.467,8.489,-0.079,-0.92%,1875
"2022-05-31 07:00",8.486,8.51,8.355,8.451,-0.038,-0.45%,3357
"2022-05-31 07:30",8.452,8.54,8.433,8.485,0.034,+0.40%,2389
"2022-05-31 08:00",8.492,8.551,8.449,8.543,0.058,+0.68%,5832
"2022-05-31 08:30",8.543,8.581,8.36,8.392,-0.151,-1.77%,4940
"2022-05-31 09:00",8.389,8.464,8.315,8.444,0.052,+0.62%,7313
"2022-05-31 09:30",8.444,8.484,8.436,8.463,0.019,+0.23%,3028
"2022-05-31 10:00",8.464,8.554,8.406,8.527,0.064,+0.76%,3984
"2022-05-31 10:30",8.529,8.593,8.489,8.509,-0.018,-0.21%,4216
"2022-05-31 11:00",8.511,8.589,8.51,8.537,0.028,+0.33%,2977
"2022-05-31 11:30",8.535,8.542,8.452,8.488,-0.049,-0.57%,3325
"2022-05-31 12:00",8.485,8.492,8.446,8.449,-0.039,-0.46%,1924
"2022-05-31 12:30",8.452,8.458,8.285,8.294,-0.155,-1.83%,6309
"2022-05-31 13:00",8.294,8.294,8.118,8.146,-0.148,-1.78%,12960
"2022-05-31 13:30",8.15,8.245,8.138,8.235,0.089,+1.09%,3597
"2022-05-31 14:00",8.231,8.241,8.186,8.194,-0.041,-0.50%,1461
"2022-05-31 14:30",8.199,8.257,8.183,8.239,0.045,+0.55%,1154
"2022-05-31 15:00",8.236,8.265,8.204,8.25,0.011,+0.13%,693
"2022-05-31 15:30",8.25,8.279,8.218,8.279,0.029,+0.35%,443
"2022-05-31 17:00",8.271,8.285,8.233,8.233,-0.046,-0.56%,130
"2022-05-31 17:30",8.237,8.261,8.237,8.261,0.028,+0.34%,40
"2022-05-31 18:00",8.262,8.278,8.253,8.278,0.017,+0.21%,71
"2022-05-31 18:30",8.276,8.292,8.261,8.263,-0.015,-0.18%,132
"2022-05-31 19:00",8.266,8.282,8.209,8.252,-0.011,-0.13%,313
"2022-05-31 19:30",8.249,8.269,8.246,8.269,0.017,+0.21%,61
"2022-05-31 20:00",8.267,8.27,8.255,8.255,-0.014,-0.17%,139
"2022-05-31 20:30",8.256,8.289,8.254,8.288,0.033,+0.40%,119
"2022-05-31 21:00",8.286,8.287,8.252,8.265,-0.023,-0.28%,202
"2022-05-31 21:30",8.265,8.282,8.26,8.274,0.009,+0.11%,145
"2022-05-31 22:00",8.275,8.276,8.244,8.276,0.002,+0.02%,121
"2022-05-31 22:30",8.277,8.294,8.265,8.279,0.003,+0.04%,187
"2022-05-31 23:00",8.28,8.325,8.265,8.312,0.033,+0.40%,366
"2022-05-31 23:30",8.312,8.326,8.305,8.323,0.011,+0.13%,35
"2022-06-01 00:00",8.32,8.354,8.32,8.326,0.003,+0.04%,135
"2022-06-01 00:30",8.327,8.337,8.299,8.321,-0.005,-0.06%,149
"2022-06-01 01:00",8.325,8.352,8.319,8.338,0.017,+0.20%,147
"2022-06-01 01:30",8.338,8.365,8.327,8.337,-0.001,-0.01%,292
"2022-06-01 02:00",8.34,8.388,8.34,8.372,0.035,+0.42%,477
"2022-06-01 02:30",8.369,8.375,8.354,8.367,-0.005,-0.06%,150
"2022-06-01 03:00",8.367,8.434,8.366,8.416,0.049,+0.59%,554
"2022-06-01 03:30",8.411,8.43,8.359,8.369,-0.047,-0.56%,842
"2022-06-01 04:00",8.369,8.417,8.356,8.399,0.03,+0.36%,359
"2022-06-01 04:30",8.4,8.409,8.33,8.359,-0.04,-0.48%,385
"2022-06-01 05:00",8.359,8.359,8.289,8.311,-0.048,-0.57%,523
"2022-06-01 05:30",8.311,8.314,8.26,8.3,-0.011,-0.13%,425
"2022-06-01 06:00",8.307,8.358,8.237,8.245,-0.055,-0.66%,835
"2022-06-01 06:30",8.24,8.277,8.146,8.172,-0.073,-0.89%,1801
"2022-06-01 07:00",8.175,8.336,8.175,8.308,0.136,+1.66%,2049
"2022-06-01 07:30",8.309,8.369,8.256,8.319,0.011,+0.13%,3056
"2022-06-01 08:00",8.316,8.538,8.297,8.538,0.219,+2.63%,7968
"2022-06-01 08:30",8.537,8.58,8.497,8.508,-0.03,-0.35%,6848
"2022-06-01 09:00",8.51,8.563,8.501,8.536,0.028,+0.33%,3510
"2022-06-01 09:30",8.534,8.543,8.462,8.49,-0.046,-0.54%,4387
"2022-06-01 10:00",8.49,8.618,8.462,8.595,0.105,+1.24%,4637
"2022-06-01 10:30",8.592,8.676,8.585,8.638,0.043,+0.50%,4888
"2022-06-01 11:00",8.639,8.728,8.63,8.689,0.051,+0.59%,5148
"2022-06-01 11:30",8.688,8.754,8.656,8.695,0.006,+0.07%,4085
"2022-06-01 12:00",8.698,8.77,8.667,8.713,0.018,+0.21%,4569
"2022-06-01 12:30",8.715,8.733,8.628,8.665,-0.048,-0.55%,3696
"2022-06-01 13:00",8.664,8.732,8.648,8.697,0.032,+0.37%,8415
"2022-06-01 13:30",8.697,8.753,8.683,8.75,0.053,+0.61%,2225
"2022-06-01 14:00",8.75,8.79,8.734,8.769,0.019,+0.22%,1664
"2022-06-01 14:30",8.768,8.791,8.743,8.779,0.01,+0.11%,961
"2022-06-01 15:00",8.779,8.779,8.737,8.769,-0.01,-0.11%,476
"2022-06-01 15:30",8.771,8.787,8.734,8.77,0.001,+0.01%,436
"2022-06-01 17:00",8.783,8.783,8.752,8.763,-0.007,-0.08%,110
"2022-06-01 17:30",8.763,8.763,8.707,8.741,-0.022,-0.25%,232
"2022-06-01 18:00",8.737,8.77,8.733,8.748,0.007,+0.08%,136
"2022-06-01 18:30",8.75,8.76,8.748,8.753,0.005,+0.06%,29
"2022-06-01 19:00",8.754,8.756,8.711,8.735,-0.018,-0.21%,259
"2022-06-01 19:30",8.734,8.754,8.64,8.677,-0.058,-0.66%,525
"2022-06-01 20:00",8.669,8.727,8.662,8.685,0.008,+0.09%,271
"2022-06-01 20:30",8.691,8.691,8.629,8.666,-0.019,-0.22%,233
"2022-06-01 21:00",8.663,8.681,8.647,8.673,0.007,+0.08%,173
"2022-06-01 21:30",8.669,8.704,8.661,8.693,0.02,+0.23%,237
"2022-06-01 22:00",8.692,8.814,8.678,8.74,0.047,+0.54%,532
"2022-06-01 22:30",8.748,8.787,8.725,8.761,0.021,+0.24%,298
"2022-06-01 23:00",8.754,8.754,8.733,8.75,-0.011,-0.13%,47
"2022-06-01 23:30",8.745,8.765,8.737,8.747,-0.003,-0.03%,68
"2022-06-02 00:00",8.739,8.75,8.676,8.703,-0.044,-0.50%,208
"2022-06-02 00:30",8.704,8.734,8.66,8.701,-0.002,-0.02%,271
"2022-06-02 01:00",8.702,8.737,8.691,8.731,0.03,+0.34%,214
"2022-06-02 01:30",8.73,8.736,8.67,8.722,-0.009,-0.10%,366
"2022-06-02 02:00",8.724,8.879,8.674,8.825,0.103,+1.18%,2070
"2022-06-02 02:30",8.828,8.861,8.69,8.709,-0.116,-1.31%,910
"2022-06-02 03:00",8.707,8.812,8.699,8.73,0.021,+0.24%,258
"2022-06-02 03:30",8.725,8.783,8.725,8.762,0.032,+0.37%,63
"2022-06-02 04:00",8.751,8.763,8.743,8.75,-0.012,-0.14%,31
"2022-06-02 04:30",8.758,8.768,8.743,8.762,0.012,+0.14%,105
"2022-06-02 05:00",8.762,8.823,8.752,8.823,0.061,+0.70%,388
"2022-06-02 05:30",8.813,8.834,8.768,8.77,-0.053,-0.60%,214
"2022-06-02 06:00",8.777,8.809,8.72,8.786,0.016,+0.18%,720
"2022-06-02 06:30",8.786,8.994,8.771,8.908,0.122,+1.39%,2442
"2022-06-02 07:00",8.91,9.057,8.891,8.986,0.078,+0.88%,2983
"2022-06-02 07:30",8.993,9.032,8.93,8.975,-0.011,-0.12%,2022
"2022-06-02 08:00",8.975,9.003,8.884,8.956,-0.019,-0.21%,5924
"2022-06-02 08:30",8.956,8.978,8.864,8.89,-0.066,-0.74%,3888
"2022-06-02 09:00",8.89,8.947,8.883,8.885,-0.005,-0.06%,3343
"2022-06-02 09:30",8.892,8.892,8.377,8.448,-0.437,-4.92%,19192
"2022-06-02 10:00",8.441,8.565,8.404,8.437,-0.011,-0.13%,6260
"2022-06-02 10:30",8.437,8.562,8.403,8.521,0.084,+1.00%,4945
"2022-06-02 11:00",8.521,8.536,8.453,8.502,-0.019,-0.22%,2539
"2022-06-02 11:30",8.502,8.682,8.5,8.68,0.178,+2.09%,4707
"2022-06-02 12:00",8.683,8.747,8.63,8.7,0.02,+0.23%,3815
"2022-06-02 12:30",8.701,8.741,8.618,8.655,-0.045,-0.52%,2621
"2022-06-02 13:00",8.658,8.666,8.442,8.508,-0.147,-1.70%,6221
"2022-06-02 13:30",8.508,8.525,8.46,8.511,0.003,+0.04%,2125
"2022-06-02 14:00",8.513,8.518,8.435,8.471,-0.04,-0.47%,1129
"2022-06-02 14:30",8.466,8.514,8.466,8.485,0.014,+0.17%,1119
"2022-06-02 15:00",8.485,8.504,8.444,8.462,-0.023,-0.27%,502
"2022-06-02 15:30",8.461,8.465,8.385,8.423,-0.039,-0.46%,893
"2022-06-02 17:00",8.412,8.533,8.388,8.483,0.06,+0.71%,460
"2022-06-02 17:30",8.483,8.508,8.401,8.41,-0.073,-0.86%,219
"2022-06-02 18:00",8.41,8.468,8.402,8.452,0.042,+0.50%,140
"2022-06-02 18:30",8.452,8.498,8.438,8.454,0.002,+0.02%,140
