Time,Open,High,Low,Latest,Change,%Change,Volume
"2024-06-28 00:00",2.709,2.713,2.708,2.711,0.002,+0.07%,133
"2024-06-28 00:30",2.713,2.715,2.706,2.707,-0.004,-0.15%,217
"2024-06-28 01:00",2.707,2.71,2.706,2.709,0.002,+0.07%,165
"2024-06-28 01:30",2.71,2.713,2.708,2.709,0,0.00%,250
"2024-06-28 02:00",2.71,2.715,2.698,2.71,0.001,+0.04%,683
"2024-06-28 02:30",2.71,2.722,2.708,2.717,0.007,+0.26%,500
"2024-06-28 03:00",2.717,2.717,2.71,2.714,-0.003,-0.11%,280
"2024-06-28 03:30",2.715,2.723,2.714,2.719,0.005,+0.18%,295
"2024-06-28 04:00",2.721,2.723,2.716,2.721,0.002,+0.07%,336
"2024-06-28 04:30",2.72,2.738,2.718,2.736,0.015,+0.55%,1137
"2024-06-28 05:00",2.736,2.736,2.727,2.733,-0.003,-0.11%,376
"2024-06-28 05:30",2.733,2.739,2.727,2.727,-0.006,-0.22%,557
"2024-06-28 06:00",2.728,2.742,2.725,2.741,0.014,+0.51%,2267
"2024-06-28 06:30",2.741,2.754,2.737,2.748,0.007,+0.26%,3105
"2024-06-28 07:00",2.748,2.765,2.722,2.728,-0.02,-0.73%,6013
"2024-06-28 07:30",2.727,2.739,2.711,2.73,0.002,+0.07%,4505
"2024-06-28 08:00",2.732,2.732,2.678,2.681,-0.049,-1.79%,8889
"2024-06-28 08:30",2.681,2.691,2.652,2.656,-0.025,-0.93%,7576
"2024-06-28 09:00",2.656,2.661,2.633,2.639,-0.017,-0.64%,9128
"2024-06-28 09:30",2.638,2.653,2.629,2.639,0,0.00%,5428
"2024-06-28 10:00",2.638,2.645,2.628,2.631,-0.008,-0.30%,5058
"2024-06-28 10:30",2.631,2.642,2.623,2.625,-0.006,-0.23%,5371
"2024-06-28 11:00",2.625,2.635,2.614,2.631,0.006,+0.23%,6178
"2024-06-28 11:30",2.631,2.631,2.609,2.612,-0.019,-0.72%,5266
"2024-06-28 12:00",2.611,2.622,2.608,2.609,-0.003,-0.11%,4430
"2024-06-28 12:30",2.608,2.609,2.597,2.6,-0.009,-0.34%,4804
