Time,Open,High,Low,Latest,Change,%Change,Volume
"2015-07-27 00:00",2.753,2.754,2.751,2.754,0.001,+0.04%,101
"2015-07-27 00:30",2.754,2.755,2.752,2.755,0.001,+0.04%,39
"2015-07-27 01:00",2.755,2.76,2.754,2.758,0.003,+0.11%,73
"2015-07-27 01:30",2.759,2.761,2.758,2.76,0.002,+0.07%,76
"2015-07-27 02:00",2.76,2.766,2.754,2.763,0.003,+0.11%,233
"2015-07-27 02:30",2.764,2.767,2.754,2.766,0.003,+0.11%,288
"2015-07-27 03:00",2.766,2.767,2.764,2.765,-0.001,-0.04%,100
"2015-07-27 03:30",2.764,2.769,2.756,2.756,-0.009,-0.33%,404
"2015-07-27 04:00",2.757,2.765,2.757,2.764,0.008,+0.29%,191
"2015-07-27 04:30",2.764,2.767,2.761,2.763,-0.001,-0.04%,153
"2015-07-27 05:00",2.763,2.763,2.757,2.763,0,0.00%,166
"2015-07-27 05:30",2.762,2.765,2.761,2.765,0.002,+0.07%,127
"2015-07-27 06:00",2.764,2.767,2.757,2.758,-0.007,-0.25%,520
"2015-07-27 06:30",2.758,2.764,2.751,2.763,0.005,+0.18%,1016
"2015-07-27 07:00",2.762,2.774,2.758,2.761,-0.002,-0.07%,1828
"2015-07-27 07:30",2.762,2.793,2.758,2.788,0.027,+0.98%,3633
"2015-07-27 08:00",2.788,2.797,2.769,2.796,0.008,+0.29%,5645
"2015-07-27 08:30",2.796,2.816,2.792,2.814,0.018,+0.64%,6131
"2015-07-27 09:00",2.814,2.814,2.8,2.81,-0.004,-0.14%,3588
"2015-07-27 09:30",2.811,2.817,2.79,2.793,-0.017,-0.60%,4460
"2015-07-27 10:00",2.792,2.807,2.791,2.796,0.003,+0.11%,2734
"2015-07-27 10:30",2.795,2.808,2.793,2.796,0,0.00%,2402
"2015-07-27 11:00",2.796,2.804,2.792,2.797,0.001,+0.04%,2077
"2015-07-27 11:30",2.797,2.806,2.792,2.798,0.001,+0.04%,2946
"2015-07-27 12:00",2.797,2.799,2.783,2.785,-0.013,-0.46%,2425
"2015-07-27 12:30",2.785,2.799,2.783,2.795,0.01,+0.36%,1897
"2015-07-27 13:00",2.797,2.799,2.782,2.789,-0.006,-0.21%,3979
"2015-07-27 13:30",2.789,2.794,2.785,2.792,0.003,+0.11%,1678
"2015-07-27 14:00",2.792,2.793,2.789,2.791,-0.001,-0.04%,388
"2015-07-27 14:30",2.792,2.792,2.788,2.79,-0.001,-0.04%,765
"2015-07-27 15:00",2.79,2.794,2.788,2.792,0.002,+0.07%,212
"2015-07-27 15:30",2.793,2.797,2.79,2.793,0.001,+0.04%,331
"2015-07-27 16:00",2.794,2.796,2.793,2.796,0.003,+0.11%,56
"2015-07-27 17:00",2.794,2.797,2.789,2.79,-0.006,-0.21%,67
"2015-07-27 17:30",2.789,2.79,2.786,2.788,-0.002,-0.07%,23
"2015-07-27 18:00",2.788,2.788,2.788,2.788,0,0.00%,4
"2015-07-27 18:30",2.788,2.788,2.786,2.786,-0.002,-0.07%,19
"2015-07-27 19:00",2.786,2.795,2.786,2.789,0.003,+0.11%,117
"2015-07-27 19:30",2.789,2.791,2.782,2.785,-0.004,-0.14%,275
"2015-07-27 20:00",2.782,2.784,2.782,2.782,-0.003,-0.11%,17
"2015-07-27 20:30",2.783,2.784,2.783,2.784,0.002,+0.07%,7
"2015-07-27 21:00",2.783,2.784,2.781,2.783,-0.001,-0.04%,26
"2015-07-27 21:30",2.782,2.783,2.782,2.783,0,0.00%,4
"2015-07-27 22:00",2.783,2.785,2.781,2.785,0.002,+0.07%,16
"2015-07-27 22:30",2.785,2.79,2.785,2.79,0.005,+0.18%,18
"2015-07-27 23:00",2.79,2.79,2.79,2.79,0,0.00%,4
"2015-07-27 23:30",2.791,2.796,2.786,2.787,-0.003,-0.11%,116
"2015-07-28 00:00",2.788,2.788,2.785,2.787,0,0.00%,38
"2015-07-28 00:30",2.787,2.793,2.786,2.788,0.001,+0.04%,43
"2015-07-28 01:00",2.79,2.791,2.789,2.791,0.003,+0.11%,22
"2015-07-28 01:30",2.791,2.791,2.789,2.789,-0.002,-0.07%,6
"2015-07-28 02:00",2.791,2.794,2.786,2.786,-0.003,-0.11%,56
