Time,Open,High,Low,Latest,Change,%Change,Volume
"2015-08-28 00:00",2.676,2.676,2.673,2.676,0,0.00%,69
"2015-08-28 00:30",2.676,2.676,2.671,2.673,-0.003,-0.11%,33
"2015-08-28 01:00",2.673,2.688,2.673,2.688,0.015,+0.56%,232
"2015-08-28 01:30",2.686,2.688,2.686,2.687,-0.001,-0.04%,155
"2015-08-28 02:00",2.687,2.69,2.687,2.689,0.002,+0.07%,210
"2015-08-28 02:30",2.688,2.69,2.686,2.688,-0.001,-0.04%,128
"2015-08-28 03:00",2.687,2.688,2.68,2.681,-0.007,-0.26%,134
"2015-08-28 03:30",2.681,2.686,2.68,2.685,0.004,+0.15%,138
"2015-08-28 04:00",2.683,2.687,2.68,2.685,0,0.00%,95
"2015-08-28 04:30",2.686,2.688,2.683,2.684,-0.001,-0.04%,79
"2015-08-28 05:00",2.686,2.691,2.686,2.69,0.006,+0.22%,150
"2015-08-28 05:30",2.69,2.697,2.69,2.692,0.002,+0.07%,571
"2015-08-28 06:00",2.692,2.697,2.692,2.694,0.002,+0.07%,324
"2015-08-28 06:30",2.694,2.698,2.693,2.697,0.003,+0.11%,628
"2015-08-28 07:00",2.696,2.699,2.681,2.692,-0.005,-0.19%,1432
"2015-08-28 07:30",2.691,2.704,2.685,2.686,-0.006,-0.22%,3290
"2015-08-28 08:00",2.687,2.724,2.686,2.719,0.033,+1.23%,11083
"2015-08-28 08:30",2.718,2.721,2.697,2.698,-0.021,-0.77%,7581
"2015-08-28 09:00",2.698,2.711,2.695,2.71,0.012,+0.44%,4610
"2015-08-28 09:30",2.709,2.712,2.698,2.709,-0.001,-0.04%,3551
"2015-08-28 10:00",2.709,2.717,2.708,2.712,0.003,+0.11%,4024
"2015-08-28 10:30",2.713,2.713,2.703,2.705,-0.007,-0.26%,2420
"2015-08-28 11:00",2.706,2.714,2.705,2.709,0.004,+0.15%,1766
"2015-08-28 11:30",2.71,2.721,2.709,2.718,0.009,+0.33%,2795
"2015-08-28 12:00",2.718,2.723,2.711,2.715,-0.003,-0.11%,2334
"2015-08-28 12:30",2.715,2.718,2.707,2.714,-0.001,-0.04%,2488
"2015-08-28 13:00",2.714,2.718,2.709,2.716,0.002,+0.07%,5543
"2015-08-28 13:30",2.715,2.719,2.713,2.719,0.003,+0.11%,1850
"2015-08-28 14:00",2.719,2.722,2.718,2.719,0,0.00%,1134
