Time,Open,High,Low,Latest,Change,%Change,Volume
"2017-09-27 00:00",3.019,3.022,3.019,3.02,0.001,+0.03%,134
"2017-09-27 00:30",3.021,3.022,3.02,3.022,0.002,+0.07%,80
"2017-09-27 01:00",3.021,3.023,3.02,3.023,0.001,+0.03%,97
"2017-09-27 01:30",3.023,3.024,3.022,3.023,0,0.00%,154
"2017-09-27 02:00",3.024,3.024,3.013,3.013,-0.01,-0.33%,411
"2017-09-27 02:30",3.013,3.018,3.013,3.017,0.004,+0.13%,224
"2017-09-27 03:00",3.016,3.019,3.013,3.015,-0.002,-0.07%,283
"2017-09-27 03:30",3.014,3.017,3.013,3.013,-0.002,-0.07%,183
"2017-09-27 04:00",3.013,3.013,3.003,3.005,-0.008,-0.27%,691
"2017-09-27 04:30",3.005,3.008,3.003,3.004,-0.001,-0.03%,203
"2017-09-27 05:00",3.004,3.019,3.003,3.012,0.008,+0.27%,511
"2017-09-27 05:30",3.011,3.021,3.011,3.019,0.007,+0.23%,349
"2017-09-27 06:00",3.019,3.039,3.015,3.032,0.013,+0.43%,2284
"2017-09-27 06:30",3.033,3.034,3.026,3.028,-0.004,-0.13%,1510
"2017-09-27 07:00",3.028,3.034,3.023,3.031,0.003,+0.10%,2882
"2017-09-27 07:30",3.032,3.04,3.029,3.04,0.009,+0.30%,4040
"2017-09-27 08:00",3.039,3.089,3.037,3.069,0.029,+0.95%,27062
"2017-09-27 08:30",3.068,3.076,3.062,3.067,-0.002,-0.07%,13278
"2017-09-27 09:00",3.067,3.071,3.055,3.06,-0.007,-0.23%,8688
"2017-09-27 09:30",3.06,3.069,3.056,3.063,0.003,+0.10%,6274
"2017-09-27 10:00",3.063,3.069,3.059,3.065,0.002,+0.07%,4961
"2017-09-27 10:30",3.065,3.067,3.051,3.057,-0.008,-0.26%,6908
"2017-09-27 11:00",3.058,3.066,3.057,3.058,0.001,+0.03%,4578
"2017-09-27 11:30",3.058,3.066,3.056,3.064,0.006,+0.20%,5050
"2017-09-27 12:00",3.064,3.073,3.063,3.067,0.003,+0.10%,5443
"2017-09-27 12:30",3.068,3.069,3.062,3.064,-0.003,-0.10%,4602
"2017-09-27 13:00",3.064,3.071,3.059,3.061,-0.003,-0.10%,21527
"2017-09-27 13:30",3.06,3.065,3.059,3.062,0.001,+0.03%,6466
"2017-09-27 14:00",3.063,3.068,3.062,3.066,0.004,+0.13%,2414
"2017-09-27 14:30",3.067,3.068,3.059,3.062,-0.004,-0.13%,2546
"2017-09-27 15:00",3.062,3.063,3.055,3.056,-0.006,-0.20%,1140
"2017-09-27 15:30",3.056,3.062,3.055,3.059,0.003,+0.10%,656
"2017-09-27 17:00",3.059,3.063,3.058,3.061,0.002,+0.07%,286
"2017-09-27 17:30",3.062,3.062,3.061,3.061,0,0.00%,18
"2017-09-27 18:00",3.062,3.062,3.061,3.061,0,0.00%,54
"2017-09-27 18:30",3.061,3.062,3.06,3.06,-0.001,-0.03%,72
"2017-09-27 19:00",3.059,3.059,3.054,3.057,-0.003,-0.10%,121
"2017-09-27 19:30",3.056,3.059,3.055,3.055,-0.002,-0.07%,97
"2017-09-27 20:00",3.054,3.058,3.053,3.056,0.001,+0.03%,130
"2017-09-27 20:30",3.056,3.057,3.054,3.054,-0.002,-0.07%,50
"2017-09-27 21:00",3.054,3.059,3.054,3.056,0.002,+0.07%,90
"2017-09-27 21:30",3.057,3.061,3.056,3.061,0.005,+0.16%,73
"2017-09-27 22:00",3.06,3.061,3.059,3.06,-0.001,-0.03%,56
"2017-09-27 22:30",3.06,3.062,3.058,3.06,0,0.00%,98
"2017-09-27 23:00",3.06,3.061,3.059,3.06,0,0.00%,61
"2017-09-27 23:30",3.059,3.063,3.059,3.062,0.002,+0.07%,67
"2017-09-28 00:00",3.062,3.066,3.062,3.065,0.003,+0.10%,115
"2017-09-28 00:30",3.065,3.066,3.062,3.063,-0.002,-0.07%,106
"2017-09-28 01:00",3.064,3.064,3.058,3.062,-0.001,-0.03%,212
"2017-09-28 01:30",3.062,3.063,3.061,3.062,0,0.00%,74
"2017-09-28 02:00",3.063,3.063,3.055,3.055,-0.007,-0.23%,293
"2017-09-28 02:30",3.055,3.058,3.052,3.053,-0.002,-0.07%,309
"2017-09-28 03:00",3.053,3.053,3.041,3.045,-0.008,-0.26%,923
"2017-09-28 03:30",3.044,3.059,3.042,3.058,0.013,+0.43%,781
"2017-09-28 04:00",3.058,3.067,3.058,3.066,0.008,+0.26%,571
"2017-09-28 04:30",3.066,3.066,3.057,3.058,-0.008,-0.26%,320
"2017-09-28 05:00",3.058,3.065,3.054,3.059,0.001,+0.03%,377
"2017-09-28 05:30",3.06,3.061,3.052,3.055,-0.004,-0.13%,406
"2017-09-28 06:00",3.055,3.06,3.046,3.047,-0.008,-0.26%,884
"2017-09-28 06:30",3.047,3.052,3.036,3.047,0,0.00%,2290
"2017-09-28 07:00",3.047,3.056,3.037,3.049,0.002,+0.07%,3330
"2017-09-28 07:30",3.05,3.059,3.038,3.047,-0.002,-0.07%,4039
"2017-09-28 08:00",3.046,3.05,3.024,3.035,-0.012,-0.39%,9584
"2017-09-28 08:30",3.034,3.043,3.03,3.033,-0.002,-0.07%,6462
"2017-09-28 09:00",3.034,3.041,3.022,3.036,0.003,+0.10%,8552
"2017-09-28 09:30",3.035,3.081,3.035,3.062,0.026,+0.86%,30490
"2017-09-28 10:00",3.062,3.062,3.022,3.042,-0.02,-0.65%,14180
"2017-09-28 10:30",3.042,3.043,3.007,3.011,-0.031,-1.02%,13855
"2017-09-28 11:00",3.01,3.028,3.001,3.012,0.001,+0.03%,11095
"2017-09-28 11:30",3.012,3.021,3.011,3.015,0.003,+0.10%,3821
"2017-09-28 12:00",3.015,3.016,3.008,3.01,-0.005,-0.17%,3872
