Time,Open,High,Low,Latest,Change,%Change,Volume
"2015-10-25 17:00",2.45,2.45,2.432,2.445,-0.041,-1.65%,1511
"2015-10-25 17:30",2.445,2.446,2.431,2.435,-0.01,-0.41%,643
"2015-10-25 18:00",2.436,2.441,2.436,2.44,0.005,+0.21%,254
"2015-10-25 18:30",2.438,2.44,2.438,2.44,0,0.00%,87
"2015-10-25 19:00",2.44,2.449,2.437,2.446,0.006,+0.25%,634
"2015-10-25 19:30",2.446,2.446,2.443,2.444,-0.002,-0.08%,160
"2015-10-25 20:00",2.445,2.449,2.444,2.447,0.003,+0.12%,259
"2015-10-25 20:30",2.446,2.446,2.441,2.443,-0.004,-0.16%,206
"2015-10-25 21:00",2.444,2.444,2.44,2.44,-0.003,-0.12%,98
"2015-10-25 21:30",2.441,2.444,2.441,2.444,0.004,+0.16%,14
"2015-10-25 22:00",2.444,2.445,2.443,2.444,0,0.00%,20
"2015-10-25 22:30",2.443,2.445,2.443,2.444,0,0.00%,12
"2015-10-25 23:00",2.444,2.445,2.443,2.444,0,0.00%,41
"2015-10-25 23:30",2.444,2.445,2.431,2.431,-0.013,-0.53%,431
"2015-10-26 00:00",2.431,2.435,2.426,2.429,-0.002,-0.08%,566
"2015-10-26 00:30",2.427,2.427,2.421,2.424,-0.005,-0.21%,386
"2015-10-26 01:00",2.425,2.426,2.424,2.426,0.002,+0.08%,141
"2015-10-26 01:30",2.425,2.427,2.425,2.425,-0.001,-0.04%,91
"2015-10-26 02:00",2.426,2.431,2.425,2.425,0,0.00%,342
"2015-10-26 02:30",2.426,2.433,2.426,2.431,0.006,+0.25%,197
"2015-10-26 03:00",2.433,2.434,2.428,2.433,0.002,+0.08%,266
"2015-10-26 03:30",2.433,2.437,2.43,2.433,0,0.00%,373
"2015-10-26 04:00",2.433,2.433,2.421,2.422,-0.011,-0.45%,668
"2015-10-26 04:30",2.423,2.424,2.417,2.419,-0.003,-0.12%,564
"2015-10-26 05:00",2.418,2.422,2.413,2.415,-0.004,-0.17%,557
"2015-10-26 05:30",2.415,2.418,2.413,2.417,0.002,+0.08%,399
"2015-10-26 06:00",2.418,2.42,2.416,2.417,0,0.00%,634
"2015-10-26 06:30",2.417,2.427,2.416,2.422,0.005,+0.21%,1506
"2015-10-26 07:00",2.422,2.427,2.418,2.42,-0.002,-0.08%,2267
"2015-10-26 07:30",2.421,2.423,2.413,2.42,0,0.00%,2010
"2015-10-26 08:00",2.42,2.435,2.42,2.423,0.003,+0.12%,6589
"2015-10-26 08:30",2.424,2.425,2.404,2.416,-0.007,-0.29%,7807
"2015-10-26 09:00",2.416,2.417,2.387,2.391,-0.025,-1.03%,8936
"2015-10-26 09:30",2.391,2.401,2.383,2.386,-0.005,-0.21%,5932
"2015-10-26 10:00",2.386,2.387,2.345,2.364,-0.022,-0.92%,13622
"2015-10-26 10:30",2.364,2.366,2.343,2.353,-0.011,-0.47%,9846
"2015-10-26 11:00",2.352,2.394,2.352,2.38,0.027,+1.15%,12621
"2015-10-26 11:30",2.38,2.38,2.365,2.371,-0.009,-0.38%,8294
"2015-10-26 12:00",2.37,2.373,2.342,2.35,-0.021,-0.89%,7244
"2015-10-26 12:30",2.35,2.371,2.346,2.349,-0.001,-0.04%,7890
"2015-10-26 13:00",2.349,2.369,2.349,2.355,0.006,+0.26%,10240
"2015-10-26 13:30",2.354,2.372,2.353,2.37,0.015,+0.64%,3928
"2015-10-26 14:00",2.37,2.377,2.368,2.368,-0.002,-0.08%,2105
"2015-10-26 14:30",2.368,2.373,2.362,2.372,0.004,+0.17%,2248
"2015-10-26 15:00",2.371,2.374,2.366,2.374,0.002,+0.08%,1013
"2015-10-26 15:30",2.373,2.377,2.366,2.368,-0.006,-0.25%,521
"2015-10-26 17:00",2.36,2.366,2.359,2.361,-0.007,-0.30%,295
"2015-10-26 17:30",2.362,2.367,2.361,2.367,0.006,+0.25%,102
"2015-10-26 18:00",2.367,2.368,2.36,2.364,-0.003,-0.13%,92
"2015-10-26 18:30",2.365,2.368,2.364,2.367,0.003,+0.13%,70
"2015-10-26 19:00",2.366,2.367,2.363,2.365,-0.002,-0.08%,60
"2015-10-26 19:30",2.365,2.368,2.364,2.368,0.003,+0.13%,57
"2015-10-26 20:00",2.367,2.369,2.364,2.365,-0.003,-0.13%,146
"2015-10-26 20:30",2.365,2.37,2.365,2.368,0.003,+0.13%,75
"2015-10-26 21:00",2.368,2.37,2.368,2.37,0.002,+0.08%,92
"2015-10-26 21:30",2.37,2.37,2.366,2.367,-0.003,-0.13%,37
"2015-10-26 22:00",2.366,2.367,2.359,2.359,-0.008,-0.34%,94
"2015-10-26 22:30",2.359,2.366,2.357,2.364,0.005,+0.21%,71
"2015-10-26 23:00",2.363,2.365,2.361,2.362,-0.002,-0.08%,93
"2015-10-26 23:30",2.363,2.363,2.354,2.357,-0.005,-0.21%,490
"2015-10-27 00:00",2.358,2.359,2.349,2.35,-0.007,-0.30%,526
"2015-10-27 00:30",2.35,2.359,2.347,2.358,0.008,+0.34%,387
"2015-10-27 01:00",2.359,2.359,2.348,2.354,-0.004,-0.17%,165
"2015-10-27 01:30",2.356,2.358,2.352,2.356,0.002,+0.08%,101
"2015-10-27 02:00",2.356,2.356,2.35,2.351,-0.005,-0.21%,90
"2015-10-27 02:30",2.352,2.357,2.35,2.354,0.003,+0.13%,189
"2015-10-27 03:00",2.354,2.355,2.344,2.347,-0.007,-0.30%,357
"2015-10-27 03:30",2.348,2.353,2.341,2.342,-0.005,-0.21%,589
"2015-10-27 04:00",2.341,2.345,2.333,2.334,-0.008,-0.34%,687
"2015-10-27 04:30",2.335,2.337,2.329,2.335,0.001,+0.04%,600
"2015-10-27 05:00",2.334,2.34,2.326,2.337,0.002,+0.09%,1286
"2015-10-27 05:30",2.336,2.336,2.325,2.33,-0.007,-0.30%,498
"2015-10-27 06:00",2.33,2.352,2.329,2.343,0.013,+0.56%,1128
"2015-10-27 06:30",2.343,2.352,2.337,2.339,-0.004,-0.17%,1877
"2015-10-27 07:00",2.339,2.384,2.337,2.384,0.045,+1.92%,5448
"2015-10-27 07:30",2.385,2.39,2.372,2.379,-0.005,-0.21%,5437
"2015-10-27 08:00",2.378,2.381,2.352,2.369,-0.01,-0.42%,9185
"2015-10-27 08:30",2.37,2.388,2.361,2.383,0.014,+0.59%,5778
"2015-10-27 09:00",2.384,2.404,2.38,2.397,0.014,+0.59%,9017
"2015-10-27 09:30",2.397,2.417,2.397,2.409,0.012,+0.50%,7762
"2015-10-27 10:00",2.41,2.413,2.391,2.4,-0.009,-0.37%,5258
"2015-10-27 10:30",2.401,2.406,2.393,2.396,-0.004,-0.17%,4227
"2015-10-27 11:00",2.397,2.397,2.378,2.388,-0.008,-0.33%,4636
"2015-10-27 11:30",2.388,2.389,2.375,2.382,-0.006,-0.25%,3994
"2015-10-27 12:00",2.381,2.388,2.376,2.381,-0.001,-0.04%,3024
"2015-10-27 12:30",2.38,2.382,2.351,2.353,-0.028,-1.18%,7721
"2015-10-27 13:00",2.353,2.376,2.351,2.361,0.008,+0.34%,12583
"2015-10-27 13:30",2.361,2.369,2.359,2.361,0,0.00%,3355
"2015-10-27 14:00",2.36,2.365,2.358,2.364,0.003,+0.13%,853
"2015-10-27 14:30",2.365,2.37,2.363,2.37,0.006,+0.25%,1107
"2015-10-27 15:00",2.369,2.373,2.369,2.372,0.002,+0.08%,377
"2015-10-27 15:30",2.371,2.374,2.369,2.371,-0.001,-0.04%,346
"2015-10-27 17:00",2.367,2.375,2.365,2.372,0.001,+0.04%,147
"2015-10-27 17:30",2.373,2.376,2.372,2.373,0.001,+0.04%,103
"2015-10-27 18:00",2.374,2.375,2.373,2.375,0.002,+0.08%,19
"2015-10-27 18:30",2.374,2.374,2.373,2.373,-0.002,-0.08%,20
"2015-10-27 19:00",2.372,2.374,2.372,2.373,0,0.00%,62
"2015-10-27 19:30",2.372,2.373,2.372,2.373,0,0.00%,28
"2015-10-27 20:00",2.372,2.372,2.365,2.369,-0.004,-0.17%,71
"2015-10-27 20:30",2.369,2.373,2.369,2.372,0.003,+0.13%,38
"2015-10-27 21:00",2.371,2.371,2.364,2.368,-0.004,-0.17%,71
"2015-10-27 21:30",2.369,2.371,2.369,2.371,0.003,+0.13%,32
"2015-10-27 22:00",2.37,2.371,2.37,2.371,0,0.00%,4
"2015-10-27 22:30",2.371,2.372,2.37,2.371,0,0.00%,17
"2015-10-27 23:00",2.371,2.371,2.369,2.369,-0.002,-0.08%,15
"2015-10-27 23:30",2.369,2.374,2.368,2.37,0.001,+0.04%,60
"2015-10-28 00:00",2.37,2.371,2.37,2.37,0,0.00%,25
"2015-10-28 00:30",2.37,2.371,2.368,2.37,0,0.00%,38
"2015-10-28 01:00",2.37,2.371,2.37,2.371,0.001,+0.04%,58
"2015-10-28 01:30",2.37,2.371,2.369,2.369,-0.002,-0.08%,31
"2015-10-28 02:00",2.37,2.372,2.37,2.37,0.001,+0.04%,68
"2015-10-28 02:30",2.371,2.374,2.369,2.371,0.001,+0.04%,81
"2015-10-28 03:00",2.372,2.376,2.362,2.363,-0.008,-0.34%,271
"2015-10-28 03:30",2.362,2.365,2.347,2.353,-0.01,-0.42%,941
"2015-10-28 04:00",2.352,2.356,2.348,2.355,0.002,+0.08%,333
"2015-10-28 04:30",2.355,2.355,2.339,2.342,-0.013,-0.55%,325
"2015-10-28 05:00",2.341,2.352,2.333,2.352,0.01,+0.43%,769
"2015-10-28 05:30",2.35,2.377,2.35,2.372,0.02,+0.85%,1418
"2015-10-28 06:00",2.371,2.377,2.362,2.364,-0.008,-0.34%,400
"2015-10-28 06:30",2.364,2.365,2.358,2.362,-0.002,-0.08%,416
"2015-10-28 07:00",2.362,2.362,2.318,2.329,-0.033,-1.40%,3520
"2015-10-28 07:30",2.328,2.33,2.315,2.323,-0.006,-0.26%,4197
"2015-10-28 08:00",2.323,2.324,2.287,2.3,-0.023,-0.99%,13587
"2015-10-28 08:30",2.3,2.316,2.292,2.297,-0.003,-0.13%,8669
"2015-10-28 09:00",2.298,2.313,2.296,2.299,0.002,+0.09%,7106
"2015-10-28 09:30",2.299,2.302,2.282,2.29,-0.009,-0.39%,6757
"2015-10-28 10:00",2.29,2.298,2.263,2.275,-0.015,-0.66%,11838
"2015-10-28 10:30",2.275,2.29,2.273,2.282,0.007,+0.31%,6742
"2015-10-28 11:00",2.282,2.29,2.267,2.267,-0.015,-0.66%,5314
"2015-10-28 11:30",2.267,2.276,2.263,2.275,0.008,+0.35%,6412
"2015-10-28 12:00",2.275,2.282,2.271,2.276,0.001,+0.04%,5027
"2015-10-28 12:30",2.276,2.295,2.267,2.29,0.014,+0.62%,7034
"2015-10-28 13:00",2.29,2.303,2.273,2.296,0.006,+0.26%,18964
"2015-10-28 13:30",2.296,2.3,2.288,2.299,0.003,+0.13%,3901
"2015-10-28 14:00",2.299,2.307,2.295,2.305,0.006,+0.26%,1911
